"","Estimate","Stock","LL","UL","Param"
"target_lnSREP_ocean.39",252,"Ououkinsh",104,611,"SREP"
"target_lnSREP_ocean.40",780,"Power",365,1666,"SREP"
"target_lnSREP_ocean.41",387,"Sucwoa",168,892,"SREP"
"target_lnSREP_ocean.42",300,"Tlupana",126,712,"SREP"
"target_lnSREP_ocean.43",397,"Tsowwin",173,914,"SREP"
"target_lnSREP_ocean.44",5601,"Nitinat",3085,10169,"SREP"
"target_lnSREP_ocean.45",5177,"San Juan",2839,9441,"SREP"
"target_lnSREP_ocean.46",637,"Nahmint",292,1390,"SREP"
"target_lnSREP_ocean.47",1298,"Sarita",639,2634,"SREP"
"target_lnSREP_ocean.48",1534,"Bedwell",768,3066,"SREP"
"target_lnSREP_ocean.49",3834,"Megin",2064,7123,"SREP"
"target_lnSREP_ocean.50",1790,"Moyeha",908,3528,"SREP"
"target_lnSREP_ocean.51",595,"Cypre",271,1308,"SREP"
"target_lnSREP_ocean.52",183,"Tranquil",73,462,"SREP"
"target_lnSREP_ocean.53",16840,"Somass (stamp&sproat)",9623,29470,"SREP"
"target_lnSREP_ocean.54",8852,"Puntledge Falls",4979,15736,"SREP"
"target_lnSREP_ocean.55",4682,"Englishman",2552,8588,"SREP"
"target_lnSREP_ocean.56",2122,"Big Qualicum",1093,4123,"SREP"
"target_lnSREP_ocean.57",1460,"Little Qualicum",727,2931,"SREP"
"target_lnSREP_ocean.58",6814,"Puntledge Summers",3791,12249,"SREP"
"target_lnSREP_ocean.59",8611,"Nanaimo Falls",4839,15325,"SREP"
"target_lnSREP_ocean.60",23613,"Klinaklini",13512,41267,"SREP"
"target_lnSREP_ocean.61",464,"Maria Slough",206,1049,"SREP"
"target_lnSREP_ocean.62",4483,"Homathko",2438,8246,"SREP"
"target_lnSREP_ocean.63",9662,"Okanagan",5452,17123,"SREP"
"target_lnSREP_ocean.64",1594,"Ahnuhati",801,3175,"SREP"
"target_lnSREP_ocean.65",1610,"Apple",809,3203,"SREP"
"target_lnSREP_ocean.66",369,"Sim",159,856,"SREP"
"target_lnSREP_ocean.67",1864,"Franklin",949,3662,"SREP"
"target_lnSREP_ocean.68",2780,"Southgate",1462,5285,"SREP"
"target_lnSREP_ocean.69",781,"Kakweiken",366,1668,"SREP"
"target_lnSREP_ocean.70",4778,"Wakeman",2608,8754,"SREP"
"target_lnSREP_ocean.71",4415,"Kingcome",2398,8128,"SREP"
"target_lnSREP_ocean.72",576,"Orford",261,1270,"SREP"
"target_lnSREP_ocean.73",319,"Stafford",135,752,"SREP"
"target_lnSREP_ocean.74",3003,"Phillips",1589,5676,"SREP"
"target_lnSREP_ocean.75",3442,"Brem",1839,6442,"SREP"
"target_lnSREP_ocean.76",2759,"Indian",1451,5249,"SREP"
"target_lnSREP_ocean.77",2277,"Quatam",1179,4397,"SREP"
"target_lnSREP_ocean.78",847,"Seymour - Georgia Strait",400,1794,"SREP"
"target_lnSREP_ocean.79",838,"Theodosia",395,1776,"SREP"
"target_lnSREP_ocean.80",7088,"Toba",3950,12717,"SREP"
"target_lnSREP_ocean.81",13211,"Squamish",7519,23209,"SREP"
"target_lnSREP_ocean.82",641,"Goldstream",294,1397,"SREP"
"target_lnSMSY_stream",2005,"Deadman",1096,3668,"SMSY"
"target_lnSMSY_stream.1",8121,"Nicola",4419,14923,"SMSY"
"target_lnSMSY_stream.2",1749,"Spius",954,3204,"SMSY"
"target_lnSMSY_stream.3",977,"Coldwater",527,1811,"SMSY"
"target_lnSMSY_stream.4",1399,"Louis",761,2574,"SMSY"
"target_lnSMSY_stream.5",5008,"Bonaparte",2742,9145,"SMSY"
"target_lnSMSY_stream.6",917,"Bessette",494,1704,"SMSY"
"target_lnSMSY_stream.7",1432,"Portage",779,2633,"SMSY"
"target_lnSMSY_stream.8",3955,"Chilko",2169,7213,"SMSY"
"target_lnSMSY_stream.9",6055,"Quesnel System (Cariboo)",3309,11079,"SMSY"
"target_lnSMSY_stream.10",14975,"Nechako System (Stuart, Stellako)",8028,27933,"SMSY"
"target_lnSMSY_stream.11",4098,"Taseko",2247,7475,"SMSY"
"target_lnSMSY_stream.12",1207,"Bridge",654,2227,"SMSY"
"target_lnSMSY_stream.13",7846,"North Thompson and Tribs",4272,14410,"SMSY"
"target_lnSMSY_stream.14",24568,"Upper Fraser Spring Agg",12945,46626,"SMSY"
"target_lnSMSY_stream.15",1450,"Birkenhead",789,2665,"SMSY"
"target_lnSMSY_stream.16",1712,"Eagle",934,3137,"SMSY"
"target_lnSMSY_stream.17",1795,"Salmon @ Salmon Arm",980,3288,"SMSY"
"target_lnSMSY_stream.18",449,"Seymour - South Thompson",236,855,"SMSY"
"target_lnSMSY_stream.19",1890,"Endako",1033,3460,"SMSY"
"target_lnSMSY_stream.20",3709,"Chilako",2034,6764,"SMSY"
"target_lnSMSY_stream.21",1499,"Horsefly",816,2754,"SMSY"
"target_lnSMSY_stream.22",10123,"Westroad, Baker, Naver, Narcosli, Cottonwood",5484,18687,"SMSY"
"target_lnSMSY_stream.23",3818,"Chilcotin (upper and lower)",2093,6962,"SMSY"
"target_lnSMSY_stream.24",1923,"Driftwood",1051,3518,"SMSY"
"target_lnSMSY_stream.25",2285,"Nadina",1251,4174,"SMSY"
"target_lnSMSY_stream.26",1634,"Upper Cariboo",891,2997,"SMSY"
"target_lnSMSY_stream.27",4098,"Taseko (Spring Timing) Agg",2247,7475,"SMSY"
"target_lnSMSY_stream.28",955,"Nahatlatch",515,1772,"SMSY"
"target_lnSMSY_stream.29",1058,"Upper Pitt",571,1957,"SMSY"
"target_lnSMSY_stream.30",1361,"Big Silver",740,2505,"SMSY"
"target_lnSMSY_stream.31",3934,"North Thompson Agg",2157,7176,"SMSY"
"target_lnSREP_stream",5339,"Deadman",2895,9847,"SREP"
"target_lnSREP_stream.1",21664,"Nicola",11691,40143,"SREP"
"target_lnSREP_stream.2",4656,"Spius",2520,8602,"SREP"
"target_lnSREP_stream.3",2598,"Coldwater",1390,4859,"SREP"
"target_lnSREP_stream.4",3724,"Louis",2008,6907,"SREP"
"target_lnSREP_stream.5",13351,"Bonaparte",7251,24582,"SREP"
"target_lnSREP_stream.6",2440,"Bessette",1303,4571,"SREP"
"target_lnSREP_stream.7",3812,"Portage",2057,7067,"SREP"
"target_lnSREP_stream.8",10541,"Chilko",5733,19383,"SREP"
"target_lnSREP_stream.9",16147,"Quesnel System (Cariboo)",8753,29787,"SREP"
"target_lnSREP_stream.10",39983,"Nechako System (Stuart, Stellako)",21254,75215,"SREP"
"target_lnSREP_stream.11",10923,"Taseko",5940,20088,"SREP"
"target_lnSREP_stream.12",3213,"Bridge",1727,5977,"SREP"
"target_lnSREP_stream.13",20929,"North Thompson and Tribs",11302,38759,"SREP"
"target_lnSREP_stream.14",65638,"Upper Fraser Spring Agg",34285,125662,"SREP"
"target_lnSREP_stream.15",3858,"Birkenhead",2082,7151,"SREP"
"target_lnSREP_stream.16",4557,"Eagle",2465,8421,"SREP"
"target_lnSREP_stream.17",4779,"Salmon @ Salmon Arm",2587,8826,"SREP"
"target_lnSREP_stream.18",1194,"Seymour - South Thompson",622,2293,"SREP"
"target_lnSREP_stream.19",5032,"Endako",2727,9288,"SREP"
"target_lnSREP_stream.20",9884,"Chilako",5376,18173,"SREP"
"target_lnSREP_stream.21",3991,"Horsefly",2155,7392,"SREP"
"target_lnSREP_stream.22",27013,"Westroad, Baker, Naver, Narcosli, Cottonwood",14512,50285,"SREP"
"target_lnSREP_stream.23",10174,"Chilcotin (upper and lower)",5533,18706,"SREP"
"target_lnSREP_stream.24",5119,"Driftwood",2774,9446,"SREP"
"target_lnSREP_stream.25",6085,"Nadina",3304,11207,"SREP"
"target_lnSREP_stream.26",4349,"Upper Cariboo",2352,8044,"SREP"
"target_lnSREP_stream.27",10923,"Taseko (Spring Timing) Agg",5940,20088,"SREP"
"target_lnSREP_stream.28",2540,"Nahatlatch",1358,4753,"SREP"
"target_lnSREP_stream.29",2814,"Upper Pitt",1508,5251,"SREP"
"target_lnSREP_stream.30",3623,"Big Silver",1953,6724,"SREP"
"target_lnSREP_stream.31",10486,"North Thompson Agg",5703,19281,"SREP"
